#在注释中：支持使用 &nbsp 来定义空格，支持使用 <br> 来定义换行，而正常的空格被用于分词

# 宇码·卿云输入法的字根口诀 (注释)
{两点二}(èr)，<br>甫(fǔ)用木干(gàn)㐄(kuà)[飞]ₑ甲	〔注〕(关二爷)仅用一根木棍就穿过了刀剑的夹击
大寒	大寒之日鸡使乳，又五日鹫鸟厉疾，又五日水泽腹坚。
立春	立春之日东风解冻，又五日蛰虫始振，又五日鱼上冰（鱼陟负冰）。
雨水	雨水之日獭祭鱼，又五日鸿雁来（候雁北），又五日草木萌动。
惊蛰	惊蛰之日桃始华，又五日仓庚鸣，又五日鹰化为鸠。
春分	春分之日玄鸟至，又五日雷乃发声，又五日始电。
清明	清明之日桐始华，又五日田鼠化为鴽，又五日虹始见。
谷雨	榖雨之日萍始生，又五日鸣鸠拂其羽，又五日戴胜降于桑。
立夏	立夏之日蝼蝈鸣，又五日蚯蚓出，又五日王瓜生。
小满	小满之日苦菜秀，又五日靡草死，又五日小暑至（麦秋生）。
芒种	芒种之日螳螂生，又五日鵙始鸣，又五日反舌无声。
夏至	夏至之日鹿角解，又五日蜩始鸣，又五日半夏生。
小暑	小暑之日温风至，又五日蟋蟀居辟，又五日鹰乃学习（鹰始鸷）。
大暑	大暑之日腐草为蠲，又五日土润溽暑，又五日大雨时行。
立秋	立秋之日凉风至，又五日白露降，又五日寒蝉鸣。
处暑	处暑之日鹰乃祭鸟，又五日天地始肃，又五日禾乃登。
白露	白露之日鸿雁来，又五日玄鸟归，又五日群鸟养羞。
秋分	秋分之日雷始收声，又五日蛰虫培户，又五日水始涸。
寒露	寒露之日鸿雁来宾，又五日雀入大水为蛤，又五日菊有黄华。
霜降	霜降之日豺乃祭兽，又五日草木黄落，又五日蛰虫咸俯。
立冬	立冬之日水始冰，又五日地始冻，又五日雉入大水为蜃。
小雪	小雪之日虹藏不见，又五日天气上腾地气下降，又五日闭塞而成冬。
大雪	大雪之日鹖旦不鸣，又五日虎始交，又五日荔挺生。

# 希腊字母读音
Α α	alpha
Β β	beta
Γ γ	gamma
Δ δ	delta
Ε ε	epsilon
Ζ ζ	zeta
Η η	eta
Θ θ	theta
Ι ι	iota
Κ κ	kappa
Λ λ	lambda
Μ μ	mu
Ν ν	nu
Ξ ξ	xi
Ο ο	omicron
Π π	pi
Ρ ρ	rho
Σ σ ς	sigma
Τ τ	tau
Υ υ	upsilon
Φ φ	phi
Χ χ	chi
Ψ ψ	psi
Ω ω	omega

# 汉字注音
ㄅ ㆴ	b
ㄆ	p
ㄇ	m
ㄈ	f
ㄉ ㆵ	d
ㄊ	t
ㄋ	n
ㄌ	l
ㄍ	g
ㄎ ㆶ	k
ㄏ ㆷ	h
ㄐ	j
ㄑ	q
ㄒ	x
ㄓ	zh
ㄔ	ch
ㄕ	sh
ㄖ	ri
ㄗ	zi
ㄘ	ci
ㄙ	si
ㄧ	i
ㄨ	u
ㄩ	ü
ㄚ	a
ㄛ	o
ㄜ	e
ㄝ	ê
ㄞ	ai
ㄟ	ei
ㄠ	ao
ㄡ	ou
ㄢ	an
ㄣ	en
ㄤ	ang
ㄥ	eng
ㄦ	er
ㄪ	v
ㄫ	ng
ㄬ	gn

# 时钟符号
🕛	12:00
🕧	12:30
🕐	1:00
🕜	1:30
🕑	2:00
🕝	2:30
🕒	3:00
🕞	3:30
🕓	4:00
🕟	4:30
🕔	5:00
🕠	5:30
🕕	6:00
🕡	6:30
🕖	7:00
🕢	7:30
🕗	8:00
🕣	8:30
🕘	9:00
🕤	9:30
🕙	10:00
🕥	10:30
🕚	11:00
🕦	11：30


# 音符
♩	四分音符
♪	八分音符
♫	八分音符₂
♬	十六分音符
𝄞	g谱号
𝄡	c谱号
𝄢	f谱号
♮	还原
♭	降音
♯	升音

# 天气
☀	晴
☁	阴天
⛅	多云
⛈	雷雨
🌧	雨
❄	雪
🌫	雾

# 邮箱信件
📨	来信
📩	收邮件
📤	发件箱
📥	收件箱
📫	有待收信件
📪	无待收信件
📬	有新邮件
📭	无新邮件

# 春江花月夜
春江 潮水 海上 明月	春江潮水连海平，海上明月共潮生。
春江	滟滟随波千万里，何处春江无月明！
宛转 芳甸 花林	江流宛转绕芳甸，月照花林皆似霰；
流霜 白沙	空里流霜不觉飞，汀上白沙看不见。
江天 一色 纤尘	江天一色无纤尘，皎皎空中孤月轮。
江畔 江月	江畔何人初见月？江月何年初照人？
人生 江月	人生代代无穷已，江月年年望相似。
江月 长江 流水	不知江月待何人，但见长江送流水。
白云 青枫	白云一片去悠悠，青枫浦上不胜愁。
谁家 今夜 相思 明月	谁家今夜扁舟子？何处相思明月楼？
可怜 徘徊 离人	可怜楼上月裴回，应照离人妆镜台。
玉户	玉户帘中卷不去，捣衣砧上拂还来。
相望 相闻 月华	此时相望不相闻，愿逐月华流照君。
鸿雁 鱼龙	鸿雁长飞光不度，鱼龙潜跃水成文。
昨夜 落花 春半	昨夜闲潭梦落花，可怜春半不还家。
江水 江潭 落月	江水流春去欲尽，江潭落月复西斜。
斜月 海雾 碣石 潇湘	斜月沉沉藏海雾，碣石潇湘无限路。
不知 落月	不知乘月几人归，落月摇情满江树。

# 车牌提示
牌照 车牌 郑州	豫A/V
牌照 车牌 开封	豫B
牌照 车牌 洛阳	豫C
牌照 车牌 平顶山	豫D
牌照 车牌 安阳	豫E
牌照 车牌 鹤壁	豫F
牌照 车牌 新乡	豫G
牌照 车牌 濮阳	豫J
牌照 车牌 焦作	豫H
牌照 车牌 济源	豫U
牌照 车牌 三门峡	豫M
牌照 车牌 许昌	豫K
牌照 车牌 周口	豫P
牌照 车牌 漯河	豫L
牌照 车牌 商丘	豫N
牌照 车牌 南阳	豫R
牌照 车牌 驻马店	豫Q
牌照 车牌 信阳	豫S

# 星座
♒	宝(水)瓶座
水瓶座	♒
宝瓶座	♒
♓	双鱼座
双鱼座	♓
♈	白羊座
白羊座	♈
♉	金牛座
金牛座	♉
♊	双子座
双子座	♊
♋	巨蟹座
巨蟹座	♋
♌	狮子座
狮子座	♌
♍	室(处)女座
处女座	♍
室女座	♍
♎	天秤座
天秤座	♎
♏	天蝎座
天蝎座	♏
♐	射手座
射手座	♐
♑	摩羯座
摩羯座	♑

# 八卦
☰	乾
乾	☰
☱	兑
兑	☱
☲	离
离	☲
☳	震
震	☳
☴	巽
巽	☴
☵	坎
坎	☵
☶	艮
艮	☶
☷	坤
坤	☷
