的	〔白_勹_丶〕
很	〔彳_艮〕
走	〔走〕
西	〔西〕
化	〔亻_〕
体	〔亻_木_一〕
己	〔己〕
身	〔身〕
先	〔⺧_儿〕
女	〔女〕
最	〔日_耳_又〕
太	〔大_丶〕
社	〔礻_土〕
制	〔_巾_刂〕
门	〔门〕
声	〔士_〕
利	〔禾_刂〕
并	〔_廾〕
平	〔一_〕
总	〔丷_口_心〕
特	〔牜_土_寸〕
信	〔亻_言〕
系	〔_糸〕
给	〔纟_人_一_口〕
相	〔木_目〕
位	〔亻_立〕
名	〔夕_口〕
次	〔冫_欠〕
应	〔广__一〕
第	〔⺮_〕
场	〔土__〕
员	〔口_贝〕
美	〔⺷_大〕
今	〔人_丶_〕
电	〔日_乚〕
气	〔气〕
提	〔扌_是〕
由	〔由〕
水	〔水〕
记	〔讠_己〕
教	〔耂_子_攵〕
立	〔立〕
设	〔讠_殳〕
真	〔十__八〕
几	〔几〕
各	〔夂_口〕
口	〔口〕
安	〔宀_女〕
内	〔冂_人〕
务	〔夂_力〕
结	〔纟_士_口〕
别	〔口_力_刂〕
通	〔辶__〕
性	〔忄_生〕
活	〔氵_舌〕
斯	〔其_斤〕
处	〔夂_卜〕
入	〔入〕
打	〔扌_丁〕
笑	〔⺮__大〕
世	〔廿_〕
比	〔_匕〕
目	〔目〕
区	〔匚_乂〕
度	〔广_廿_又〕
题	〔是_页〕
济	〔氵_文_〕
数	〔米_女_攵〕
北	〔_匕〕
书	〔__丨_丶〕
东	〔_小〕
常	〔⺌_冖_口_巾〕
少	〔小_丿〕
金	〔金〕
再	〔一_冂_土〕
眼	〔目_艮〕
任	〔亻__士〕
解	〔⺈_用_刀_牛〕
统	〔纟_亠_厶_儿〕
才	〔_丿〕
万	〔一__丿〕
被	〔衤_皮〕
四	〔四〕
便	〔亻_一_日_乂〕
义	〔丶_乂〕
做	〔亻_十_口_攵〕
听	〔口_斤〕
强	〔弓_口_虫〕
放	〔方_攵〕
海	〔氵__母〕
保	〔亻_口_木〕
科	〔禾__十〕
果	〔日_木〕
件	〔亻_牛〕
资	〔冫_欠_贝〕
路	〔_夂_口〕
它	〔宀_匕〕
管	〔⺮_宀_〕
更	〔一_日_乂〕
山	〔山〕
计	〔讠_十〕
华	〔亻__十〕
感	〔戊_一_口_心〕
基	〔其_土〕
马	〔马〕
住	〔亻_丶_王〕
尔	〔⺈_小〕
神	〔礻_申〕
决	〔冫__大〕
白	〔白〕
及	〔_丿_〕
改	〔_攵〕
干	〔一_十〕
程	〔禾_口_王〕
军	〔冖_车〕
边	〔辶_力〕
代	〔亻_弋〕
农	〔冖_〕
党	〔⺌_冖_口_儿〕
元	〔二_儿〕
接	〔扌_立_女〕
车	〔车〕
据	〔扌_尸_十_口〕
光	〔⺌_兀〕
委	〔禾_女〕
受	〔爫_冖_又〕
爱	〔爫_冖__又〕
原	〔厂_白_小〕
象	〔⺈_口_〕
亲	〔立_木〕
夫	〔二_人〕
交	〔亠_八_乂〕
五	〔工_〕
量	〔日_一_日_土〕
何	〔亻_丁_口〕
难	〔又_隹〕
思	〔田_心〕
术	〔木_丶〕
论	〔讠_人_匕〕
觉	〔_冖_见〕
拉	〔扌_立〕
领	〔人__页〕
张	〔弓_长〕
认	〔讠_人〕
办	〔力_八〕
克	〔十_口_儿〕
品	〔口_口_口〕
期	〔其_月〕
色	〔⺈_巴〕
步	〔止_〕
望	〔_月_王〕
德	〔彳_十_罒_一_心〕
风	〔几_乂〕
像	〔亻_⺈_口_〕
许	〔讠__十〕
议	〔讠_丶_乂〕
至	〔至〕
界	〔田_人_〕
求	〔__丶〕
却	〔土_厶_卩〕
物	〔牜_勹_〕
企	〔人_止〕
京	〔亠_口_小〕
算	〔⺮_目_廾〕
技	〔扌_十_又〕
队	〔阝_人〕
南	〔十_〕
式	〔弋_工〕
变	〔_又〕
条	〔夂_木〕
快	〔忄__大〕
达	〔辶_大〕
指	〔扌_匕_日〕
必	〔心_丿〕
直	〔十_〕
组	〔纟_且〕
院	〔阝_宀_二_儿〕
或	〔戈_口_〕
战	〔_口_戈〕
形	〔一_廾_彡〕
共	〔_八〕
非	〔非〕
近	〔辶_斤〕
服	〔月_卩_又〕
治	〔氵_厶_口〕
完	〔宀_二_儿〕
持	〔扌_土_寸〕
呢	〔口_尸_匕〕
取	〔耳_又〕
候	〔亻_丨__矢〕
导	〔巳_寸〕
收	〔丩_攵〕
字	〔宀_子〕
花	〔艹_亻_〕
清	〔氵_龶_〕
带	〔_冖_巾〕
该	〔讠_亠__人〕
深	〔氵_冖_八_木〕
王	〔王〕
命	〔人_一_口_卩〕
调	〔讠_冂_土_口〕
怎	〔__心〕
转	〔_二__丶〕
反	〔⺁_又〕
司	〔_一_口〕
告	〔⺧_口〕
让	〔讠__一〕
联	〔耳__大〕
连	〔辶_车〕
则	〔贝_刂〕
集	〔隹_木〕
死	〔一_夕_匕〕
际	〔阝_示〕
流	〔氵_亠_厶_〕
叫	〔口_丩〕
谈	〔讠_火_火〕
传	〔亻_二__丶〕
且	〔且〕
每	〔_母〕
往	〔彳_丶_王〕
格	〔木_夂_口〕
言	〔言〕
士	〔士〕
江	〔氵_工〕
写	〔冖_一__一〕
规	〔二_人_见〕
切	〔_刀〕
城	〔土_戊_〕
增	〔土_丷__日〕
府	〔广_亻_寸〕
运	〔辶_二_厶〕
息	〔自_心〕
房	〔户_方〕
图	〔囗_夂_〕
李	〔木_子〕
举	〔_一_八_〕
示	〔示〕
省	〔小_丿_目〕
识	〔讠_口_八〕
广	〔广〕
满	〔氵_艹_一_冂_人_人〕
局	〔尸__口〕
革	〔革〕
精	〔米_龶_〕
台	〔厶_口〕
极	〔木__丿_〕
志	〔士_心〕
团	〔囗__丿〕
似	〔亻__丶_人〕
众	〔人_人_人〕
友	〔_又〕
远	〔辶_二_儿〕
亚	〔一_业〕
吃	〔口__乙〕
钱	〔钅_戋〕
林	〔木_木〕
百	〔一_白〕
布	〔_巾〕
村	〔木_寸〕
单	〔丷_日_十〕
轻	〔__工〕
语	〔讠_工__口〕
即	〔_卩〕
视	〔礻_见〕
研	〔石_一_廾〕
造	〔辶_⺧_口〕
确	〔石_⺈_用〕
观	〔又_见〕
青	〔龶_〕
空	〔穴_工〕
育	〔亠_厶_〕
脸	〔月_人_二_〕
项	〔工_页〕
商	〔_冏〕
罗	〔罒_夕〕
吗	〔口_马〕
九	〔九〕
首	〔_自〕
整	〔木_口_攵_一_止〕
根	〔木_艮〕
吧	〔口_巴〕
参	〔厶_大_彡〕
究	〔穴_九〕
标	〔木_示〕
级	〔纟__丿_〕
支	〔十_又〕
请	〔讠_龶_〕
师	〔_一_巾〕
兴	〔_一_八〕
容	〔穴_人_口〕
八	〔八〕
类	〔米_大〕
坐	〔人_人_土〕
巴	〔巴〕
未	〔二_小〕
约	〔纟_勹_丶〕
影	〔日_亠_口_小_彡〕
权	〔木_又〕
群	〔尹_口_羊〕
红	〔纟_工〕
跟	〔_艮〕
半	〔半〕
始	〔女_厶_口〕
专	〔二__丶〕
英	〔艹__大〕
失	〔_人〕
推	〔扌_隹〕
准	〔冫_隹〕
孩	〔子_亠__人〕
音	〔立_日〕
双	〔又_又〕
落	〔艹_氵_夂_口〕
早	〔日_十〕
选	〔辶_⺧_儿〕
查	〔木_日_一〕
质	〔⺁_十_贝〕
乐	〔_小〕
客	〔宀_夂_口〕
费	〔弓__贝〕
站	〔立__口〕
热	〔扌_九_丶_灬〕
阿	〔阝_丁_口〕
功	〔工_力〕
构	〔木_勹_厶〕
引	〔弓_丨〕
证	〔讠_一_止〕
找	〔扌_戈〕
争	〔⺈_〕
消	〔氵_⺌_〕
乎	〔_〕
模	〔木_艹_日_大〕
施	〔方__也〕
云	〔二_厶〕
具	〔_八〕
周	〔冂_土_口〕
包	〔勹_巳〕
投	〔扌_殳〕
需	〔_而〕
离	〔亠_乂_凵_冂_厶〕
节	〔艹_〕
紧	〔〢_又_糸〕
纪	〔纟_己〕
喜	〔士_口__口〕
照	〔日_刀_口_灬〕
势	〔扌_九_丶_力〕
复	〔_日_夂〕
火	〔火〕
线	〔纟_戋〕
创	〔人_⺋_刂〕
严	〔一_业_丿〕
倒	〔亻_至_刂〕
备	〔夂_田〕
石	〔石〕
易	〔日_勹_〕
存	〔_丨_子〕
片	〔片〕
效	〔亠_八_乂_攵〕
历	〔厂_力〕
越	〔走_戈_〕
史	〔口_乂〕
讲	〔讠_二_〕
黑	〔_土_灬〕
职	〔耳_口_八〕
协	〔十_力_八〕
母	〔母〕
父	〔八_乂〕
香	〔禾_日〕
断	〔_米_斤〕
随	〔阝_辶__〕
环	〔王_不〕
晚	〔日_⺈_口_儿〕
足	〔足〕
尽	〔尸__〕
艺	〔艹_乙〕
况	〔冫_口_儿〕
希	〔乂__巾〕
拿	〔人_一_口_手〕
虽	〔口_虫〕
曾	〔丷__日〕
族	〔方__矢〕
若	〔艹__口〕
官	〔宀_〕
型	〔一_廾_刂_土〕
维	〔纟_隹〕
愿	〔厂_白_小_心〕
护	〔扌_户〕
价	〔亻_人_〕
县	〔且_厶〕
怕	〔忄_白〕
令	〔人_〕
织	〔纟_口_八〕
苦	〔艹_十_口〕
送	〔辶__大〕
六	〔亠_八〕
续	〔纟_十_乛__大〕
古	〔十_口〕
责	〔龶_贝〕
赛	〔宀__八_贝〕
装	〔丬_士_亠_〕
欢	〔又_欠〕
须	〔彡_页〕
优	〔亻_尤〕
注	〔氵_丶_王〕
男	〔田_力〕
答	〔⺮_人_一_口〕
响	〔口__口〕
故	〔十_口_攵〕
值	〔亻_十_〕
七	〔七〕
列	〔一_夕_刂〕
句	〔勹_口〕
树	〔木_又_寸〕
副	〔一_口_田_刂〕
衣	〔亠_〕
病	〔疒_一_冂_人〕
段	〔_三_殳〕
境	〔土_立_日_儿〕
千	〔千〕
您	〔亻_⺈_小_心〕
席	〔广_廿_巾〕
念	〔人_丶__心〕
校	〔木_亠_八_乂〕
户	〔户〕
显	〔日_业〕
兰	〔_二〕
微	〔彳_山_一_几_攵〕
武	〔一_弋_止〕
采	〔爫_木〕
留	〔_丶_刀_田〕
乡	〔_〕
飞	〔⺄_〕
河	〔氵_丁_口〕
谁	〔讠_隹〕
案	〔宀_女_木〕
坚	〔〢_又_土〕
突	〔穴_大_丶〕
低	〔亻_氏_丶〕
益	〔_八_皿〕
刚	〔冈_刂〕
刻	〔亠__人_刂〕
奇	〔大_丁_口〕
依	〔亻_亠_〕
待	〔彳_土_寸〕
态	〔大_丶_心〕
较	〔_亠_八_乂〕
营	〔艹_冖_口_口〕
网	〔冂_乂_乂〕
终	〔纟_夂_〕
姐	〔女_且〕
器	〔口_口_大_丶_口_口〕
积	〔禾_口_八〕
医	〔匚_矢〕
黄	〔_由_八〕
除	〔阝_人_〕
土	〔土〕
央	〔_大〕
划	〔戈_刂〕
诉	〔讠_斤_丶〕
底	〔广_氏_丶〕
致	〔至_攵〕
供	〔亻__八〕
画	〔一_田_凵〕
访	〔讠_方〕
哪	〔口__二_丿_阝〕
律	〔彳_肀_二〕
久	〔⺈_〕
称	〔禾_⺈_小〕
仅	〔亻_又〕
夜	〔亠_亻_〕
考	〔耂_一_〕
破	〔石_皮〕
助	〔且_力〕
号	〔口_一_〕
策	〔⺮_木_冂〕
习	〔习〕
初	〔衤_刀〕
阳	〔阝_日〕
率	〔亠___厶_十〕
冷	〔冫_人_〕
游	〔氵_方__子〕
州	〔_川〕
继	〔纟__米〕
负	〔⺈_贝〕
层	〔尸_二_厶〕
闻	〔门_耳〕
尼	〔尸_匕〕
够	〔勹_口_夕_夕〕
兵	〔丘_八〕
木	〔木〕
另	〔口_力〕
读	〔讠_十_乛__大〕
验	〔马_人_二_〕
批	〔扌__匕〕
米	〔米〕
娘	〔女_丶_艮〕
丽	〔一__〕
害	〔宀_丰_口〕
绝	〔纟_⺈_巴〕
港	〔氵__八_巳〕
演	〔氵_宀_一_由_八〕
妈	〔女_马〕
源	〔氵_厂_白_小〕
春	〔春〕
防	〔阝_方〕
居	〔尸_十_口〕
富	〔宀_一_口_田〕
假	〔亻__二__又〕
诗	〔讠_土_寸〕
酒	〔氵_酉〕
惊	〔忄_亠_口_小〕
静	〔龶__⺈_〕
哥	〔丅_口_丁_口〕
索	〔十_冖_糸〕
银	〔钅_艮〕
急	〔⺈_彐_心〕
充	〔亠_厶_儿〕
料	〔米__十〕
宣	〔宀_二_日〕
星	〔日_生〕
善	〔羊__口〕
福	〔礻_一_口_田〕
块	〔土__大〕
范	〔艹_氵_⺋〕
仍	〔亻__丿〕
厂	〔厂〕
铁	〔钅__人〕
穿	〔穴_牙〕
围	〔囗__〕
余	〔人_〕
察	〔宀__示〕
细	〔纟_田〕
既	〔_旡〕
普	〔_业_日〕
养	〔_〕
章	〔立_日_十〕
抓	〔扌_爪〕
速	〔辶_木_口〕
朋	〔月_月〕
敢	〔_耳_攵〕
帮	〔三_丿_阝_巾〕
密	〔宀_心_丿_山〕
获	〔艹_犭_大_丶〕
修	〔亻_丨_夂_彡〕
按	〔扌_宀_女〕
检	〔木_人_二_〕
船	〔舟_几_口〕
素	〔龶_糸〕
龙	〔龙〕
亿	〔亻_乙〕
陈	〔阝__小〕
止	〔止〕
朝	〔十_日_十_月〕
排	〔扌_非〕
斗	〔_十〕
球	〔王___丶〕
印	〔_一_卩〕
错	〔钅__日〕
妇	〔女_彐〕
版	〔片_⺁_又〕
派	〔氵_⺁_〕
脚	〔月_土_厶_卩〕
忙	〔忄_亡〕
汉	〔氵_又〕
般	〔舟_殳〕
伤	〔亻__力〕
独	〔犭_虫〕
评	〔讠_一_〕
景	〔日_亠_口_小〕
序	〔广__乛_亅〕
执	〔扌_九_丶〕
爷	〔八_乂_〕
弟	〔丷_〕
剧	〔尸_十_口_刂〕
承	〔乛_水_三〕
试	〔讠_弋_工〕
良	〔丶_艮〕
买	〔乛__大〕
竟	〔立_日_儿〕
馆	〔饣_宀_〕
甚	〔其_〕
屋	〔尸_至〕
卡	〔_一_卜〕
换	〔扌_⺈__大〕
饭	〔饣_⺁_又〕
警	〔艹_勹_口_攵_言〕
简	〔⺮_门_日〕
困	〔囗_木〕
岁	〔山_夕〕
刘	〔文_刂〕
室	〔宀_至〕
楼	〔木_米_女〕
座	〔广_人_人_土〕
讯	〔讠_⺄_十〕
波	〔氵_皮〕
财	〔贝__丿〕
险	〔阝_人_二_〕
谢	〔讠_身_寸〕
玉	〔王_丶〕
停	〔亻_亠_口_冖_丁〕
差	〔⺶_工〕
姑	〔女_十_口〕
宝	〔宀_王_丶〕
乱	〔舌_乚〕
沉	〔氵_冖_几〕
劳	〔艹_冖_力〕
镇	〔钅_十__八〕
永	〔永〕
痛	〔疒__〕
预	〔_乛_亅_页〕
击	〔_凵〕
角	〔⺈_用〕
洲	〔氵__川〕
啊	〔口_阝_丁_口〕
例	〔亻_一_夕_刂〕
杀	〔乂_木〕
雨	〔雨〕
苏	〔艹_力_八〕
限	〔阝_艮〕
哈	〔口_人_一_口〕
食	〔食〕
顾	〔厂__页〕
毛	〔毛〕
烈	〔一_夕_刂_灬〕
适	〔辶_舌〕
配	〔酉_己〕
某	〔甘_木〕
担	〔扌_日_一〕
词	〔讠__一_口〕
监	〔〢__皿〕
讨	〔讠_寸〕
草	〔艹_日_十〕
置	〔罒_十_〕
欧	〔匚_乂_欠〕
堂	〔⺌_冖_口_土〕
园	〔囗_二_儿〕
胜	〔月_生〕
礼	〔礻_乚〕
怪	〔忄_又_土〕
款	〔土_示_欠〕
顿	〔_凵_页〕
亮	〔亠_口_冖_几〕
编	〔纟_户_〕
忽	〔勹__心〕
库	〔广_车〕
跑	〔_勹_巳〕
慢	〔忄_日_罒_又〕
沙	〔氵_小_丿〕
泽	〔氵_又_〕
略	〔田_夂_口〕
属	〔尸__虫_冂〕
激	〔氵_白_方_攵〕
否	〔不_口〕
脑	〔月_亠_乂_凵〕
靠	〔⺧_口_非〕
献	〔十__大_丶〕
温	〔氵_日_皿〕
怀	〔忄_不〕
班	〔王__王〕
互	〔二_〕
招	〔扌_刀_口〕
呼	〔口__〕
阵	〔阝_车〕
睛	〔目_龶_〕
胡	〔十_口_月〕
份	〔亻_八_刀〕
背	〔_匕_〕
威	〔戊_一_女〕
冲	〔冫_中〕
伯	〔亻_白〕
嘴	〔口_止_匕_⺈_用〕
纳	〔纟_冂_人〕
歌	〔丅_口_丁_口_欠〕
状	〔丬_大_丶〕
占	〔_口〕
稳	〔禾_⺈_彐_心〕
血	〔_皿〕
域	〔土_戈_口_〕
贵	〔中_一_贝〕
田	〔田〕
皮	〔皮〕
油	〔氵_由〕
奥	〔_米_大〕
述	〔辶_木_丶〕
托	〔扌__七〕
贸	〔_丶_刀_贝〕
伊	〔亻_尹〕
旧	〔丨_日〕
钟	〔钅_中〕
笔	〔⺮_毛〕
暗	〔日_立_日〕
祖	〔礻_且〕
露	〔__夂_口〕
挥	〔扌_冖_车〕
街	〔行_土_土〕
药	〔艹_纟_勹_丶〕
午	〔_十〕
卫	〔_一〕
呀	〔口_牙〕
顺	〔川_页〕
罪	〔罒_非〕
灵	〔彐_火〕
控	〔扌_穴_工〕
睡	〔目_千_艹_二〕
遇	〔辶_日_冂_〕
雷	〔_田〕
秋	〔禾_火〕
荣	〔艹_冖_木〕
旁	〔_冖_方〕
莫	〔艹_日_大〕
戏	〔又_戈〕
味	〔口_二_小〕
湖	〔氵_十_口_月〕
喝	〔口_日_匃〕
健	〔亻_廴_肀_二〕
赶	〔走_一_十〕
销	〔钅_⺌_〕
洋	〔氵_羊〕
短	〔矢_一_口_〕
肯	〔止_〕
础	〔石_屮_凵〕
渐	〔氵__斤〕
散	〔__攵〕
疑	〔匕_矢__乛_〕
税	〔禾_丷_口_儿〕
股	〔月_殳〕
均	〔土_勹_冫〕
舞	〔_一_〢_〢_一_夕_〕
旅	〔方__〕
藏	〔艹_戈_爿_臣〕
促	〔亻_足〕
左	〔_工〕
阶	〔阝_人_〕
篇	〔⺮_户_〕
秀	〔禾__丿〕
迎	〔辶__卩〕
烟	〔火_因〕
异	〔巳_廾〕
掉	〔扌__日_十〕
届	〔尸_由〕
束	〔木_口〕
免	〔⺈_口_儿〕
康	〔广__氺〕
努	〔女_又_力〕
恶	〔一_业_心〕
救	〔__丶_攵〕
归	〔_彐〕
卖	〔十_乛__大〕
著	〔艹_者〕
佛	〔亻_弓_〕
杂	〔九_木〕
超	〔走_刀_口〕
店	〔广__口〕
罢	〔罒_土_厶〕
板	〔木_⺁_又〕
退	〔辶_艮〕
忘	〔亡_心〕
犯	〔犭_⺋〕
介	〔人_〕
跳	〔__儿〕
临	〔〢__〕
俄	〔亻_手_戈〕
征	〔彳_一_止〕
窗	〔穴__夂〕
幸	〔土_〕
牌	〔片___十〕
抗	〔扌_亠_几〕
庆	〔广_大〕
概	〔木__旡〕
婚	〔女_氏_日〕
刊	〔一_十_刂〕
齐	〔文_〕
摇	〔扌_爫__十_凵〕
玩	〔王_二_儿〕
坏	〔土_不〕
梅	〔木__母〕
吉	〔士_口〕
追	〔辶__〕
宁	〔宀_丁〕
耳	〔耳〕
梦	〔木_木_夕〕
尚	〔⺌_冋〕
曲	〔日_〢〕
压	〔厂_土_丶〕
判	〔_刂〕
培	〔土_立_口〕
雪	〔_彐〕
右	〔_口〕
纸	〔纟_氏〕
松	〔木_八_厶〕
货	〔亻__贝〕
减	〔冫_戊_一_口〕
丝	〔____一〕
脱	〔月_丷_口_儿〕
妹	〔女_二_小〕
审	〔宀_申〕
杨	〔木__〕
训	〔讠_川〕
楚	〔木_木_乛_〕
庭	〔广_廴__士〕
朱	〔_小〕
封	〔土_土_寸〕
端	〔立_山_而〕
扬	〔扌__〕
降	〔阝_夂_〕
剑	〔人_二__刂〕
守	〔宀_寸〕
输	〔_人_一__刂〕
赵	〔走_乂〕
吴	〔口_一_大〕
登	〔_一_口_〕
络	〔纟_夂_口〕
默	〔_土_灬_大_丶〕
伟	〔亻__〕
兄	〔口_儿〕
顶	〔丁_页〕
孙	〔子_小〕
床	〔广_木〕
瑞	〔王_山_而〕
贫	〔八_刀_贝〕
套	〔大_镸〕
移	〔禾_夕_夕〕
唱	〔口_日_日〕
掌	〔⺌_冖_口_手〕
探	〔扌_冖_八_木〕
软	〔_欠〕
危	〔⺈_厂_⺋〕
绿	〔纟_彐_氺〕
灯	〔火_丁〕
绍	〔纟_刀_口〕
叶	〔口_十〕
材	〔木__丿〕
博	〔十_甫_寸〕
练	〔纟___八〕
票	〔覀_示〕
针	〔钅_十〕
督	〔_一_小_又_目〕
弄	〔王_廾〕
伙	〔亻_火〕
奖	〔丬_夕_大〕
咱	〔口_自〕
抱	〔扌_勹_巳〕
私	〔禾_厶〕
恐	〔工_几_丶_心〕
吸	〔口__丿_〕
鼓	〔士_口__十_又〕
娜	〔女__二_丿_阝〕
核	〔木_亠__人〕
鲁	〔鱼_日〕
翻	〔釆_田_习_习〕
野	〔日_土__乛_亅〕
厅	〔厂_丁〕
塔	〔土_艹_人_一_口〕
唐	〔广_肀_口〕
君	〔尹_口〕
融	〔一_口__虫〕
缺	〔_十_凵__大〕
扩	〔扌_广〕
圣	〔又_土〕
夏	〔一_自_夂〕
秘	〔禾_心_丿〕
测	〔氵_贝_刂〕
轮	〔_人_匕〕
录	〔彐_氺〕
额	〔宀_夂_口_页〕
塞	〔宀__八_土〕
丰	〔丰〕
彩	〔爫_木_彡〕
牛	〔牛〕
谓	〔讠_田_〕
洛	〔氵_夂_口〕
阴	〔阝_月〕
升	〔_廾〕
曰	〔日〕
桌	〔_日_木〕
措	〔扌__日〕
帝	〔_冖_巾〕
寻	〔彐_寸〕
含	〔人_丶__口〕
巨	〔匚_〕
奶	〔女__丿〕
竞	〔立_口_儿〕
庄	〔广_土〕
鲜	〔鱼_羊〕
仿	〔亻_方〕
禁	〔木_木_示〕
贝	〔贝〕
败	〔贝_攵〕
恩	〔因_心〕
盘	〔舟_皿〕
逐	〔辶_豕〕
操	〔扌_口_口_口_木〕
替	〔二_人_二_人_日〕
赞	〔⺧_儿_⺧_儿_贝〕
蒙	〔艹_冖_一_豕〕
盖	〔⺷_皿〕
补	〔衤_卜〕
诺	〔讠_艹__口〕
握	〔扌_尸_至〕
奋	〔大_田〕
枪	〔木_人_⺋〕
付	〔亻_寸〕
童	〔立_日_土〕
搞	〔扌_亠_口_冋〕
借	〔亻__日〕
架	〔力_口_木〕
页	〔页〕
智	〔矢_口_日〕
菜	〔艹_爫_木〕
杰	〔木_灬〕
汽	〔氵_气〕
珠	〔王__小〕
燕	〔廿__口_匕_灬〕
茶	〔艹_人_木〕
洪	〔氵__八〕
毫	〔亠_口_冖_毛〕
哭	〔口_口_大_丶〕
括	〔扌_舌〕
肉	〔冂_人_人〕
刀	〔刀〕
闹	〔门_亠_巾〕
瓦	〔一__乙_丶〕
泪	〔氵_目〕
毒	〔龶_母〕
醒	〔酉_日_生〕
映	〔日__大〕
固	〔囗_十_口〕
啦	〔口_扌_立〕
雄	〔_厶_隹〕
妻	〔一__女〕
误	〔讠_口_一_大〕
粮	〔米_丶_艮〕
卷	〔_⺋〕
敌	〔舌_攵〕
射	〔身_寸〕
典	〔__八〕
邓	〔又_阝〕
鬼	〔鬼〕
忍	〔刀_丶_心〕
勒	〔革_力〕
摆	〔扌_罒_土_厶〕
丁	〔丁〕
凡	〔几_丶〕
趣	〔走_耳_又〕
熟	〔亠_口_子_九_丶_灬〕
曼	〔日_罒_又〕
予	〔_乛_亅〕
盟	〔日_月_皿〕
遍	〔辶_户_〕
晓	〔日__兀〕
灾	〔宀_火〕
杯	〔木_不〕
岸	〔山_厂_一_十〕
虑	〔虍_心〕
姓	〔女_生〕
萨	〔艹_阝_立_丿〕
尊	〔丷_酉_寸〕
析	〔木_斤〕
勇	〔__力〕
拥	〔扌_用〕
毕	〔_匕_十〕
伸	〔亻_申〕
敬	〔艹_勹_口_攵〕
雅	〔牙_隹〕
伦	〔亻_人_匕〕
尤	〔尤〕
休	〔亻_木〕
丈	〔一_乂〕
悲	〔非_心〕
幕	〔艹_日_大_巾〕
攻	〔工_攵〕
莱	〔艹_二_氺〕
亦	〔亠__八〕
澳	〔氵__米_大〕
盛	〔戊__皿〕
售	〔隹_口〕
迷	〔辶_米〕
湾	〔氵__弓〕
爸	〔八_乂_巴〕
购	〔贝_勹_厶〕
弹	〔弓_丷_日_十〕
岛	〔_山〕
挂	〔扌_土_土〕
闪	〔门_人〕
